Time-step, Boss, Warrior, Rogue, Mage, Druid, Priest
1, 4936.534, 2959, 1481, 995, 1238, 881
2, 4884.861, 2934, 1473, 976, 1226, 879
3, 4835.187, 2910, 1455, 970, 1207, 880
4, 4789.875, 2884, 1439, 957, 1190, 889
5, 4735.536, 2863, 1433, 942, 1179, 889
6, 4673.493, 2836, 1425, 932, 1172, 888
7, 4618.561, 2815, 1411, 927, 1154, 895
8, 4567.817, 2795, 1395, 911, 1148, 895
9, 4511.482, 2771, 1389, 905, 1134, 881
10, 4465.598, 2751, 1384, 898, 1124, 877
11, 4413.313, 2722, 1379, 892, 1114, 881
12, 4363.044, 2697, 1372, 883, 1096, 878
13, 4301.555, 2673, 1356, 873, 1085, 885
14, 4250.023, 2648, 1344, 857, 1079, 885
15, 4200.04, 2623, 1339, 843, 1060, 883
16, 4133.81, 2593, 1334, 828, 1049, 890
17, 4082.508, 2567, 1315, 812, 1038, 881
18, 4015.952, 2536, 1298, 793, 1019, 891
19, 3951.165, 2503, 1288, 782, 1009, 890
20, 3905.883, 2472, 1272, 763, 998, 885
21, 3851.135, 2439, 1260, 758, 993, 884
22, 3798.776, 2404, 1250, 749, 979, 891
23, 3755.744, 2374, 1239, 742, 962, 883
24, 3713.591, 2344, 1232, 726, 955, 881
25, 3664.895, 2309, 1227, 720, 938, 881
26, 3611.171, 2271, 1216, 703, 922, 878
27, 3543.472, 2237, 1209, 691, 906, 888
28, 3503.925, 2198, 1195, 672, 889, 886
29, 3444.029, 2160, 1180, 654, 875, 883
30, 3391.73, 2120, 1170, 649, 867, 893
31, 3335.395, 2087, 1154, 635, 855, 886
32, 3274.688, 2052, 1138, 619, 847, 882
33, 3231.254, 2012, 1125, 609, 842, 880
34, 3163.942, 1975, 1110, 593, 836, 876
35, 3120.302, 1934, 1097, 588, 831, 876
36, 3073.252, 1892, 1091, 582, 815, 877
37, 3022.344, 1848, 1084, 567, 801, 881
38, 2975.617, 1810, 1067, 558, 791, 888
39, 2913.256, 1771, 1059, 553, 775, 895
40, 2864.782, 1733, 1041, 534, 764, 884
41, 2801.225, 1692, 1023, 522, 748, 887
42, 2755.32, 1647, 1013, 516, 734, 891
43, 2702.04, 1605, 997, 509, 728, 883
44, 2662.022, 1564, 981, 495, 719, 881
45, 2614.995, 1521, 971, 487, 711, 880
46, 2561.006, 1481, 953, 477, 697, 879
47, 2503.238, 1439, 934, 463, 683, 883
48, 2442.735, 1393, 925, 451, 667, 892
49, 2378.417, 1348, 906, 436, 651, 893
50, 2322.638, 1303, 890, 426, 642, 883
51, 2281.552, 1260, 884, 415, 631, 891
52, 2228.024, 1215, 878, 397, 626, 895
53, 2188.374, 1163, 865, 382, 621, 888
54, 2131.782, 1117, 846, 372, 605, 891
55, 2060.692, 1072, 835, 360, 589, 885
56, 2006.908, 1026, 822, 347, 581, 895
57, 1949.207, 973, 804, 335, 569, 887
58, 1894.355, 923, 795, 330, 551, 890
59, 1826.037, 875, 780, 313, 539, 885
60, 1760.761, 819, 771, 296, 524, 886
61, 1720.247, 770, 763, 291, 511, 886
62, 1653.38, 720, 758, 276, 496, 890
63, 1597.908, 670, 740, 266, 481, 890
64, 1553.877, 621, 728, 255, 462, 884
65, 1512.389, 564, 721, 238, 451, 882
66, 1455.571, 508, 706, 226, 435, 890
67, 1394.128, 449, 700, 209, 429, 891
68, 1338.358, 390, 682, 197, 421, 884
69, 1285.795, 332, 671, 180, 407, 893
70, 1225.565, 273, 656, 174, 402, 889
71, 1179.567, 212, 648, 164, 395, 883
72, 1124.321, 153, 633, 156, 379, 892
73, 1067.266, 93, 616, 138, 369, 887
74, 1026.408, 32, 602, 121, 360, 885
75, 964.0679, 0, 596, 113, 355, 894
76, 928.097, 0, 588, 103, 339, 886
