Time-step, Boss, Warrior, Rogue, Mage, Druid, Priest
1, 4947.635, 2958, 1491, 995, 1238, 886
2, 4898.958, 2934, 1482, 983, 1219, 895
3, 4842.83, 2919, 1471, 975, 1204, 882
4, 4784.87, 2898, 1453, 970, 1192, 884
5, 4727.696, 2882, 1445, 953, 1186, 883
6, 4676.186, 2862, 1439, 941, 1174, 889
7, 4619.115, 2845, 1424, 928, 1168, 889
8, 4555.809, 2824, 1419, 911, 1152, 887
9, 4503.24, 2808, 1412, 904, 1142, 890
10, 4453.884, 2784, 1405, 897, 1137, 884
11, 4398.847, 2765, 1398, 879, 1127, 892
12, 4340, 2743, 1390, 864, 1117, 889
13, 4274.914, 2721, 1373, 849, 1099, 893
14, 4223.43, 2698, 1364, 834, 1087, 887
15, 4167.944, 2680, 1348, 827, 1070, 886
16, 4107.958, 2665, 1343, 808, 1058, 883
17, 4047.964, 2644, 1325, 796, 1047, 889
18, 3992.339, 2621, 1311, 788, 1031, 890
19, 3944.998, 2599, 1297, 777, 1016, 885
20, 3901.461, 2575, 1278, 765, 1004, 881
21, 3856.271, 2552, 1266, 752, 996, 881
22, 3798.592, 2537, 1261, 739, 984, 880
23, 3730.775, 2522, 1255, 729, 979, 889
24, 3662.962, 2503, 1239, 724, 969, 886
25, 3612.281, 2484, 1224, 714, 958, 891
26, 3539.096, 2463, 1207, 706, 945, 882
27, 3473.095, 2441, 1195, 698, 928, 888
28, 3427.449, 2420, 1189, 692, 914, 892
29, 3370.392, 2402, 1172, 675, 909, 888
30, 3309.894, 2383, 1154, 667, 895, 889
31, 3244.376, 2366, 1144, 649, 880, 889
32, 3199.463, 2349, 1137, 637, 863, 894
33, 3150.106, 2333, 1132, 621, 854, 894
34, 3093.315, 2314, 1124, 611, 843, 885
35, 3038.13, 2295, 1115, 598, 837, 889
36, 2997.363, 2274, 1106, 584, 827, 892
37, 2947.033, 2256, 1092, 578, 822, 892
38, 2886.804, 2238, 1083, 561, 816, 881
39, 2827.156, 2217, 1067, 545, 798, 883
40, 2772.071, 2197, 1058, 540, 784, 884
41, 2715.754, 2180, 1045, 534, 776, 880
42, 2656.672, 2157, 1037, 515, 764, 883
43, 2612.831, 2135, 1021, 501, 745, 879
44, 2558.238, 2115, 1012, 487, 727, 875
45, 2504.27, 2093, 993, 476, 716, 880
46, 2436.754, 2073, 980, 462, 710, 879
47, 2384.048, 2053, 972, 452, 705, 878
48, 2322.487, 2030, 967, 442, 698, 888
49, 2279.733, 2013, 954, 433, 692, 893
50, 2232.955, 1995, 937, 415, 674, 883
51, 2170.236, 1976, 931, 396, 663, 891
52, 2118.435, 1952, 920, 379, 658, 883
53, 2046.176, 1935, 905, 366, 648, 885
54, 1989.575, 1919, 897, 360, 643, 892
55, 1931.297, 1895, 889, 353, 638, 890
56, 1879.997, 1873, 879, 334, 622, 881
57, 1826.405, 1854, 864, 329, 611, 878
58, 1768.688, 1833, 857, 322, 596, 881
59, 1714.132, 1817, 843, 314, 589, 882
60, 1651.551, 1793, 838, 297, 576, 888
61, 1603.47, 1773, 828, 290, 563, 884
62, 1549.746, 1757, 811, 281, 555, 887
63, 1496.457, 1742, 798, 267, 545, 884
64, 1443.568, 1725, 786, 258, 535, 893
65, 1389.372, 1706, 778, 248, 530, 885
66, 1334.084, 1684, 759, 242, 517, 883
67, 1288.522, 1669, 748, 223, 509, 889
68, 1239.54, 1654, 737, 207, 495, 881
69, 1187.374, 1634, 718, 195, 487, 885
70, 1134.086, 1614, 700, 187, 482, 894
71, 1068.277, 1596, 684, 181, 469, 882
72, 1012.125, 1574, 666, 163, 455, 880
73, 947.3187, 1550, 656, 149, 440, 879
74, 887.4679, 1530, 645, 136, 423, 881
75, 832.4742, 1514, 626, 120, 411, 878
76, 770.7382, 1523, 618, 111, 396, 876
77, 703.6038, 1524, 603, 101, 384, 879
78, 643.827, 1502, 591, 85, 374, 880
79, 592.8021, 1509, 572, 71, 359, 884
80, 537.8078, 1519, 562, 56, 352, 890
81, 482.4426, 1503, 546, 45, 345, 884
82, 438.0899, 1505, 537, 26, 335, 890
83, 389.9009, 1509, 518, 17, 317, 883
84, 344.0154, 1492, 499, 9, 302, 869
85, 292.7912, 1474, 492, 2, 291, 877
86, 239.4378, 1458, 478, 0, 282, 863
