Time-step, Boss, Warrior, Rogue, Mage, Druid, Priest
1, 4947, 2958, 1493, 982, 1243, 893
2, 4879.532, 2939, 1476, 971, 1229, 891
3, 4822.852, 2915, 1457, 964, 1210, 884
4, 4771.555, 2894, 1445, 951, 1203, 883
5, 4726.831, 2879, 1427, 934, 1197, 891
6, 4675.593, 2861, 1420, 917, 1181, 891
7, 4630.043, 2845, 1404, 898, 1175, 882
8, 4562.987, 2830, 1399, 887, 1163, 880
9, 4513.964, 2806, 1391, 878, 1146, 883
10, 4449.783, 2784, 1381, 871, 1129, 883
11, 4390.799, 2760, 1363, 860, 1110, 886
12, 4348.78, 2739, 1347, 845, 1099, 883
13, 4306.01, 2718, 1333, 839, 1091, 881
14, 4261.974, 2701, 1318, 821, 1082, 887
15, 4216.98, 2680, 1310, 814, 1070, 881
16, 4169.111, 2656, 1293, 804, 1061, 878
17, 4113.474, 2641, 1280, 793, 1050, 886
18, 4049.512, 2621, 1271, 781, 1038, 887
19, 3990.152, 2606, 1266, 776, 1030, 892
20, 3936.693, 2585, 1259, 764, 1013, 891
21, 3880.561, 2569, 1248, 745, 994, 890
22, 3835.087, 2554, 1239, 728, 989, 886
23, 3790.721, 2532, 1220, 723, 983, 888
24, 3727.675, 2512, 1206, 718, 967, 892
25, 3683.789, 2495, 1192, 710, 960, 883
26, 3626.918, 2472, 1178, 705, 941, 891
27, 3565.203, 2453, 1171, 686, 933, 889
28, 3523.735, 2432, 1160, 673, 923, 892
29, 3467.334, 2410, 1146, 662, 904, 895
30, 3416.919, 2395, 1137, 652, 891, 890
31, 3370.786, 2372, 1132, 647, 875, 888
32, 3321.243, 2353, 1122, 638, 867, 881
33, 3266.327, 2338, 1107, 622, 862, 888
34, 3206.027, 2323, 1096, 613, 847, 881
35, 3146.687, 2299, 1084, 607, 831, 879
36, 3099.004, 2282, 1079, 591, 813, 879
37, 3049.514, 2265, 1071, 580, 804, 889
38, 3004.667, 2241, 1056, 572, 795, 891
39, 2958.22, 2217, 1042, 557, 780, 891
40, 2919.054, 2201, 1030, 539, 769, 888
41, 2868.967, 2186, 1019, 524, 756, 891
42, 2821.813, 2165, 1005, 517, 743, 881
43, 2769.847, 2149, 990, 511, 728, 891
44, 2726.427, 2129, 972, 503, 714, 881
45, 2652.418, 2107, 953, 489, 698, 884
46, 2589.076, 2085, 937, 480, 680, 880
47, 2540.514, 2064, 927, 470, 661, 882
48, 2480.49, 2044, 914, 463, 652, 881
49, 2439.462, 2027, 901, 445, 634, 877
50, 2384.474, 2009, 893, 437, 629, 882
51, 2337.522, 1987, 886, 423, 617, 892
52, 2282.308, 1972, 878, 412, 612, 893
53, 2237.557, 1953, 871, 406, 604, 891
54, 2193.428, 1931, 863, 397, 586, 887
55, 2146.592, 1910, 846, 391, 570, 887
56, 2102.649, 1890, 839, 372, 559, 887
57, 2061.038, 1867, 828, 365, 548, 891
58, 2004.605, 1851, 819, 355, 529, 889
59, 1958.373, 1832, 803, 349, 516, 893
60, 1899.746, 1815, 786, 333, 508, 885
61, 1839.35, 1791, 770, 315, 496, 884
62, 1775.593, 1768, 756, 301, 480, 888
63, 1718.091, 1749, 737, 295, 469, 890
64, 1663.901, 1734, 727, 287, 461, 883
65, 1611.17, 1715, 711, 268, 443, 886
66, 1562.191, 1695, 701, 249, 438, 892
67, 1501.739, 1677, 683, 232, 433, 882
68, 1453.464, 1653, 669, 213, 425, 888
69, 1409.166, 1634, 664, 201, 418, 893
70, 1348.654, 1619, 651, 186, 401, 883
71, 1289.981, 1597, 633, 177, 386, 893
72, 1239.111, 1577, 626, 167, 376, 895
73, 1190.933, 1557, 615, 160, 370, 895
74, 1147.844, 1536, 602, 148, 361, 889
75, 1105.776, 1518, 587, 134, 351, 895
76, 1050.626, 1521, 579, 129, 334, 882
77, 989.4147, 1504, 572, 116, 321, 889
78, 931.3393, 1508, 562, 103, 315, 894
79, 886.5443, 1514, 546, 90, 304, 883
80, 825.1199, 1517, 534, 83, 293, 884
81, 760.8438, 1519, 529, 66, 285, 881
82, 707.4859, 1504, 510, 58, 270, 890
83, 647.2632, 1509, 494, 52, 258, 889
84, 589.5663, 1490, 484, 38, 253, 879
85, 543.9037, 1472, 466, 33, 248, 885
86, 483.4034, 1456, 450, 14, 231, 880
87, 436.5405, 1436, 440, 0, 213, 886
