Time-step, Boss, Warrior, Rogue, Mage, Druid, Priest
1, 4937.548, 2955, 1486, 984, 1241, 889
2, 4887.96, 2936, 1471, 977, 1224, 884
3, 4818.928, 2914, 1460, 966, 1211, 887
4, 4755.87, 2891, 1454, 959, 1195, 887
5, 4710.403, 2867, 1447, 949, 1186, 881
6, 4668.627, 2846, 1433, 934, 1180, 889
7, 4606.298, 2823, 1426, 917, 1162, 888
8, 4554.461, 2796, 1409, 907, 1152, 882
9, 4499.666, 2768, 1401, 895, 1135, 889
10, 4453.726, 2744, 1390, 885, 1126, 892
11, 4392.296, 2720, 1375, 867, 1114, 893
12, 4346.377, 2694, 1362, 849, 1101, 888
13, 4280.813, 2668, 1346, 834, 1085, 893
14, 4219.542, 2643, 1339, 826, 1078, 882
15, 4154.488, 2618, 1322, 815, 1065, 880
16, 4103.991, 2592, 1315, 798, 1058, 878
17, 4040.716, 2564, 1306, 779, 1052, 880
18, 3982.88, 2530, 1287, 773, 1040, 890
19, 3919.988, 2497, 1275, 761, 1028, 881
20, 3873.042, 2469, 1262, 753, 1015, 881
21, 3798.052, 2435, 1247, 740, 1005, 890
22, 3749.112, 2398, 1238, 731, 1000, 884
23, 3701.727, 2361, 1224, 715, 981, 894
24, 3653.11, 2324, 1219, 703, 963, 895
25, 3604.938, 2291, 1211, 695, 953, 892
26, 3553.789, 2253, 1204, 686, 943, 894
27, 3503.117, 2217, 1193, 671, 937, 882
28, 3443.585, 2184, 1180, 654, 932, 880
29, 3382.277, 2148, 1164, 642, 919, 882
30, 3309.031, 2111, 1156, 626, 904, 884
31, 3248.943, 2076, 1143, 618, 896, 894
32, 3195.411, 2036, 1127, 602, 890, 886
33, 3152.697, 2003, 1120, 597, 874, 894
34, 3101.716, 1968, 1109, 591, 865, 888
35, 3050.762, 1929, 1095, 576, 848, 895
36, 3001.601, 1885, 1081, 561, 840, 882
37, 2950.638, 1848, 1073, 548, 822, 878
38, 2903.202, 1806, 1062, 543, 816, 874
39, 2851.205, 1763, 1057, 534, 802, 872
40, 2794.961, 1718, 1045, 524, 786, 873
41, 2741.2, 1672, 1031, 516, 771, 871
42, 2696.727, 1629, 1018, 507, 761, 874
43, 2649.385, 1583, 1011, 495, 746, 871
44, 2597.228, 1544, 994, 488, 740, 869
45, 2531.972, 1497, 982, 475, 729, 876
46, 2460.338, 1451, 971, 458, 718, 881
47, 2418.609, 1405, 952, 439, 709, 879
48, 2366.625, 1357, 942, 432, 703, 885
49, 2315.364, 1314, 925, 423, 689, 883
50, 2267.19, 1272, 907, 411, 679, 884
51, 2208.988, 1226, 894, 392, 668, 885
52, 2147.505, 1175, 885, 379, 654, 893
53, 2081.958, 1128, 877, 374, 647, 893
54, 2017.285, 1082, 867, 363, 631, 881
55, 1960.013, 1033, 860, 354, 615, 890
56, 1900.783, 983, 849, 337, 599, 892
57, 1847.266, 930, 831, 319, 592, 884
58, 1804.441, 882, 817, 302, 584, 890
59, 1748.673, 833, 806, 287, 571, 887
60, 1680.876, 777, 796, 278, 563, 894
61, 1614.511, 720, 791, 271, 558, 888
62, 1544.945, 669, 785, 255, 539, 892
63, 1477.204, 616, 777, 244, 528, 883
64, 1426.728, 560, 764, 239, 516, 882
65, 1383.379, 502, 759, 222, 511, 890
66, 1329.241, 442, 742, 208, 493, 895
67, 1278.614, 386, 735, 193, 486, 885
68, 1216.274, 325, 721, 188, 472, 892
69, 1148.277, 265, 712, 177, 459, 886
70, 1091.608, 209, 693, 168, 444, 881
71, 1027.257, 146, 680, 163, 438, 888
72, 956.4632, 85, 662, 158, 433, 888
73, 907.363, 29, 645, 143, 426, 883
74, 853.6317, 0, 633, 131, 417, 893
75, 796.2637, 0, 618, 122, 407, 885
